Ata 4D,Resumen
3530,OXYGEN BOTTLE
3531,FLIGHT CREW PORTABLE DEVICES
3532,P.B.E
3600,PNEUMATIC
3610,AIR BLEED
3611,ENGINE BLEED 
3612,APU BLEED 
3613,GROUND COMPRESSED AIR SUPPLY SYSTEM
3614,ENVIRONMENT PROTECTION
3620,AIR BLEED
3622,LEAK DETECTION
3800,WATER / WASTE
3810,WATER LEAK 
3811,WATER STORAGE
3812,DISTRIBUTION
3813,QUANTITY INDICATING
3814,WATER DRAING (DUMP)
3830,LAV & TOILET SYS
3831,TOILET FLUSH
3840,AIR SUPPLY
3842,AIR SUPPLY BOOST SYSTEM
4600,INFORMATION SYSTEMS - GENERAL
4610,INFORMATION SYSTEMS
4611,ELECTRONIC FLIGHT BACK (EFB)
4618,ATSU
4620,FLIGHT DECK INFORMATION SYSTEMS
4621,AIR TRAFFIC & INFORM. MANAGEMENT SYST.
4624,ATIMS - ROUTER
4710,FUEL INERT
4731,FUEL INERT
4911,APU AUTOSHUTDOWN
4912,APU MOUNTS
4913,FIRE SEALS
4916,AIR INTAKE SYSTEM
4920,APU ELETRICAL
4930,APU FUEL 
4940,APU IGNITION
4942,APU START
4950,AIR
4951,APU BLEED 
4960,ENGINE CONTROLS
4961,CONTROL AND MONITORING
4970,INDICATING
4971,POWER INDICATING
4972,APU EGT
4980,EXHAUST
4981,EXHAUST SYSTEM
4990,APU OIL
5200,DOORS
5210,COCKPIT DOOR
5211,FWD DOOR PASS
5211A,DOOR LEAK
5211B,DOOR WARNING
5213A,AFT DOOR PASS
5213B,DOOR DAMPER
5220,DOOR EMERGENCY 
5221,PASSENGER COMPARTMENT EMERGENCY EXIT
5230,DOOR CARGO
5231,FWD DOOR CARGO 
5232,AFT DOOR CARGO 
5233,BULK CARGO DOOR
5235,DOOR CARGO ELECTR. SYST  
5236,DOOR CARGO HYD SYS
5240,ACCESS DOORS
5241,ACCESS DOORS
5250,COKPIT DOOR 
5251,DOORS PASSENGER COMPARTMENT FIXED INT
5270,DOOR AVNCS
5273A,SLIDE REL.& OVERPRESS. EMERGENCY ESCAPE 
5273B,SLIDE ARM
5280,DOOR L.G
5281,MAIN GEAR DOORS
5290,ACCES DOORS (RAT)
5300,FUSELAGE
5300A,FOD FUSELAGE
5310,FOD LIGHTINING STRIKE
5310,FOD BIRD STRIKE
5315,RADOME
5320,FORWARD FUSELAGE
5330,BELLY FAIRING
5330A,VIBRATION
5340,REAR FUSELAGE
5345,FAIRINGS
5350,CONE/REAR FUSELAGE
5400,NACELLES/PYLONS
